name,price,core_count,core_clock,boost_clock,tdp,graphics,smt
Intel Core 2 Extreme QX6700,,4,2.66,,100,,false
Intel Core 2 Extreme QX9650,,4,3,,130,,false
AMD Phenom II X2 545,,2,3,,80,,false
AMD Phenom II X2 560 Black,,2,3.3,,80,,false
AMD Phenom II X4 975,,4,3.6,,125,,false
AMD Athlon II X3 460,,3,3.4,,95,,false
Intel Core i5-2405S,,4,2.5,,65,Intel HD Graphics 3000,false
AMD A4-3400,,2,2.7,,65,Radeon HD 6410D,false
AMD A8-3850,,4,2.9,,100,Radeon HD 6550D,false
AMD A6-3650,,4,2.6,,100,Radeon HD 6530D,false
AMD Athlon II X2 250,,2,3,,65,,false
AMD Athlon II X4 641,,4,2.8,,100,,false
Intel Xeon E3-1225,,4,3.1,,95,Intel HD Graphics,false
Intel Pentium G2130,,2,3.2,,55,Intel HD Graphics,false
AMD FX-4130,,4,3.8,,125,,false
AMD 5150,,4,1.6,,25,Radeon HD 8400,false
AMD 5350,,4,2.05,,25,Radeon HD 8400,false
AMD A10-6800K,,4,4.1,,100,Radeon HD 8670D,false
AMD A10-6800B,,4,4.1,4.4,100,Radeon HD 8670D,false
AMD A10-7850K,,4,3.7,4,95,Radeon R7 (on-die),false
AMD A4-3300,,2,2.5,,65,Radeon HD 6410D,false
AMD A6-7400K,,2,3.5,3.9,65,Radeon R5 (on die),false
AMD FX-4200,,4,3.3,,125,,false
AMD FX-4320,,4,4,4.2,95,,false
AMD FX-6350,,6,3.9,,125,,false
AMD Athlon II X2 221,,2,2.8,,65,,false
AMD E2-3200,,2,2.4,,65,Radeon HD 6370D,false
Intel Core i3-4370,,2,3.8,,54,Intel HD Graphics 4600,true
Intel Xeon E5-2637 V2,,4,3.5,3.8,130,,true
AMD A8-7600,,4,3.1,3.8,65,Radeon R7 (on-die),false
AMD Athlon X4 530,,4,2,,25,,false
AMD Pro A10-7800B,,4,3.5,3.9,65,Radeon R7 (on-die),false
AMD Phenom II X4 B99,,4,3.3,,95,,false
Intel Pentium G3250T,,2,2.8,,35,Intel HD Graphics,false
Intel Pentium G3450,,2,3.4,,53,Intel HD Graphics,false
Intel Pentium G3460,,2,3.5,,53,Intel HD Graphics,false
Intel Xeon E5-2609 V3,,6,1.9,,85,,false
Intel Xeon E5-2695 V3,,14,2.3,3.3,120,,true
AMD Phenom II X6 1065T,,6,2.7,,95,,false
Intel Xeon E3-1245 V3,,4,3.4,3.8,84,Intel HD Graphics P4600,true
AMD FX-8310,,8,3.4,4.3,95,,false
Intel Pentium G3470,153.1,2,3.6,,53,Intel HD Graphics,false
AMD A8-7670K,,4,3.6,3.9,95,Radeon R7 (on-die),false
Intel Core i3-6300,,2,3.8,,51,Intel HD Graphics 530,true
Intel Core i5-6600T,,4,2.7,3.5,35,Intel HD Graphics 530,false
Intel Xeon E3-1225 V5,,4,3.3,3.7,80,Intel HD Graphics P530,false
AMD Opteron 6328,499.99,8,3.2,3.8,115,,false
AMD A6-7470K,,2,3.7,4,65,Radeon R5 (on die),false
AMD Athlon X4 880K,,4,4,4.2,95,,false
Intel Core i3-7320,,2,4.1,,51,Intel HD Graphics 630,true
Intel Core i3-7100T,,2,3.4,,35,Intel HD Graphics 630,true
Intel Core i3-7300T,,2,3.5,,35,Intel HD Graphics 630,true
Intel Core i5-7400T,,4,2.4,3,35,Intel HD Graphics 630,false
Intel Core i5-7600T,,4,2.8,3.7,35,Intel HD Graphics 630,false
Intel Core i9-7900X,,10,3.3,4.5,140,,true
AMD A8-7670K,,4,3.6,3.9,95,Radeon R7 (on-die),false
Intel Xeon E5-2430V2,,6,2.5,3,80,,true
Intel Xeon E3-1220 V6,398.95,4,3,3.5,72,,false
Intel Xeon E3-1225 V6,369.95,4,3.3,3.7,73,Intel HD Graphics P630,false
AMD Athlon X4 970,,4,3.8,4,65,,false
Intel Core i3-8300,,4,3.7,,62,Intel UHD Graphics 630,false
Intel Core i3-4360,,2,3.7,,54,Intel HD Graphics 4600,true
Intel Xeon E5-2665,,8,2.4,3.1,115,,true
Intel Xeon E5-2620,139.94,6,2,,95,,true
Intel Xeon E-2244G,,4,3.8,4.8,71,Intel HD Graphics P630,true
Intel Xeon E3-1235,219,4,3.2,,95,Intel HD Graphics,true
Intel Pentium G630T,75,2,2.3,,35,Intel HD Graphics,false
AMD Athlon II X2 255,,2,3.1,,65,,false
Intel Celeron 430,,1,1.8,,35,,false
AMD Athlon II X3 435,,3,2.9,,95,,false
Intel Celeron 450,,1,2.2,,35,,false
AMD Phenom II X2 550,,2,3.1,,80,,false
AMD Phenom II X3 720,,3,2.8,,95,,false
AMD Phenom II X4 910,,4,2.6,,95,,false
AMD Phenom II X4 925,,4,2.8,,95,,false
AMD Phenom II X4 945,,4,3,,125,,false
AMD Athlon II X2 260u,,2,1.8,,25,,false
AMD Athlon II X3 415e,,3,2.5,,45,,false
AMD Phenom II X4 905e,,4,2.5,,65,,false
AMD Phenom II X4 955 Black,,4,3.2,,125,,false
Intel Celeron E1500,,2,2.2,,65,,false
Intel Pentium E2160,,2,1.8,,65,,false
Intel Celeron E3200,,2,2.4,,65,,false
Intel Celeron E3200,,2,2.4,,65,,false
Intel Core 2 Duo E4500,,2,2.2,,65,,false
Intel Pentium E5300,79.4,2,2.6,,65,,false
Intel Pentium E5400,,2,2.7,,65,,false
Intel Pentium E5400,,2,2.7,,65,,false
Intel Pentium E5500,,2,2.8,,65,,false
Intel Core 2 Duo E6400,,2,2.13,,65,,false
Intel Core 2 Duo E6540,,2,2.33,,65,,false
Intel Pentium E6600,,2,3.06,,65,,false
Intel Core 2 Duo E6700,,2,2.66,,65,,false
Intel Core 2 Duo E6750,,2,2.66,,65,,false
Intel Core 2 Duo E7400,,2,2.8,,65,,false
Intel Core 2 Duo E8200,,2,2.66,,65,,false
Intel Core 2 Duo E8200,,2,2.66,,65,,false
Intel Core 2 Duo E8500,,2,3.16,,65,,false
Intel Core i5-750S,,4,2.4,,82,,false
Intel Core i7-940,,4,2.93,,130,,true
Intel Core 2 Quad Q8200,,4,2.33,,95,,false
Intel Core 2 Quad Q8200S,,4,2.33,,65,,false
Intel Core 2 Quad Q8200S,,4,2.33,,65,,false
Intel Core 2 Quad Q8300,,4,2.5,,95,,false
Intel Core 2 Quad Q8300,,4,2.5,,95,,false
Intel Core 2 Quad Q8400,,4,2.66,,95,,false
Intel Core 2 Quad Q8400S,,4,2.66,,65,,false
Intel Core 2 Quad Q8400S,,4,2.66,,65,,false
Intel Core 2 Quad Q9400S,,4,2.66,,65,,false
Intel Core 2 Quad Q9400S,,4,2.66,,65,,false
Intel Core 2 Quad Q9505,,4,2.83,,95,,false
Intel Core 2 Quad Q9505S,,4,2.83,,65,,false
Intel Core 2 Quad Q9550,,4,2.83,,95,,false
Intel Core 2 Extreme QX6800,,4,2.93,,100,,false
Intel Core 2 Extreme QX6850,,4,3,,130,,false
Intel Core 2 Extreme QX9770,,4,3.2,,136,,false
Intel Core 2 Extreme QX9775,,4,3.2,,150,,false
Intel Core 2 Extreme QX9775,,4,3.2,,150,,false
AMD Athlon II X2 265,,2,3.2,,65,,false
AMD Athlon II X4 610e,,4,2.4,,45,,false
AMD Phenom II X2 565 Black,,2,3.4,,80,,false
AMD Phenom II X4 840,,4,3.2,,95,,false
AMD Phenom II X4 955,,4,3.2,,125,,false
AMD Phenom II X4 960T Black,,4,3,,95,,false
AMD Athlon II X4 630,,4,2.8,,95,,false
AMD FX-8100,,8,2.8,,95,,false
AMD Phenom II X6 1100T Black,,6,3.3,,125,,false
Intel Xeon E3-1230,,4,3.2,,80,,true
Intel Xeon E3-1280,,4,3.5,,95,,true
Intel Celeron G1630,,2,2.8,,55,Intel HD Graphics,false
Intel Celeron G1830,,2,2.8,,53,Intel HD Graphics,false
Intel Celeron G1850,,2,2.9,,53,Intel HD Graphics,false
Intel Pentium G3440,,2,3.3,,53,Intel HD Graphics,false
